resort	fivestartrail	species
Beaver Creek Resort	3	resort-fivestartrail
Howelsen Hill Ski Area	3	resort-fivestartrail
Kendall Mountain	9	resort-fivestartrail
Steamboat Ski Resort	2	resort-fivestartrail
Winter Park Resort	8	resort-fivestartrail
Buttermilk Mountain	13	resort-fivestartrail
Wolf Creek Ski Area	0	resort-fivestartrail
Sunlight Mountain Resort	1	resort-fivestartrail
Vail	8	resort-fivestartrail
Eldora Mountain Resort	8	resort-fivestartrail
Copper Mountain Resort	10	resort-fivestartrail
Breckenridge Ski Resort	9	resort-fivestartrail
Monarch Ski & Snowboard Area	4	resort-fivestartrail
Ski Cooper	5	resort-fivestartrail
Arapahoe Basin	7	resort-fivestartrail
Crested Butte Mountain Resort	6	resort-fivestartrail
Loveland	9	resort-fivestartrail
Ski Granby Ranch	2	resort-fivestartrail
Telluride	6	resort-fivestartrail
Purgatory (Durango Mountain Resort)	9	resort-fivestartrail
Keystone Resort	7	resort-fivestartrail
Powderhorn Resort	4	resort-fivestartrail
Aspen Mountain	8	resort-fivestartrail
Aspen Highlands	17	resort-fivestartrail
Snowmass	13	resort-fivestartrail
Echo Mountain 	3	resort-fivestartrail
Hesperus Ski Area	1	resort-fivestartrail
Ski Broadmoor	3	resort-fivestartrail
Silverton Mountain	7	resort-fivestartrail
Berthoud Pass	5	resort-fivestartrail
Geneva Basin	5	resort-fivestartrail
Cuchara Mountain Resort	2	resort-fivestartrail
Chapman Hill Ski Area	0	resort-fivestartrail
Cranor Hill Ski Area	3	resort-fivestartrail
Lake City Ski Hill	10	resort-fivestartrail
Lee's Ski Hill	6	resort-fivestartrail
Conquistador Ski Resort	2	resort-fivestartrail
Ski Estes Park (Hidden Valley)	16	resort-fivestartrail
Little Annie	11	resort-fivestartrail
St. Mary's Glacier	6	resort-fivestartrail
Arapahoe East	4	resort-fivestartrail
Pikes Peak	4	resort-fivestartrail
Indian Mountain	0	resort-fivestartrail
Stagecoach	0	resort-fivestartrail
Frisco Adventure Park	10	resort-fivestartrail
Ski Idlewild	7	resort-fivestartrail
Sharktooth	0	resort-fivestartrail
Fun Valley	4	resort-fivestartrail
Meadow Mountain	4	resort-fivestartrail
Stoner	0	resort-fivestartrail
Lake Catamount	2	resort-fivestartrail
Silver Hills	0	resort-fivestartrail
Ski San Isabel	1	resort-fivestartrail
Ski Dallas	1	resort-fivestartrail
Rock Creek	0	resort-fivestartrail
Irwin Lodge Snowcat	9	resort-fivestartrail
